sample_name	unit_name	fq1	fq2	sra	adapters	bioproject	type	librarylayout	organism	latitude	longitude	bases
SRR17868081	NA	NA	NA	SRR17868081	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	34203232
SRR17868082	NA	NA	NA	SRR17868082	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	24414712
SRR17868083	NA	NA	NA	SRR17868083	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	51974874
SRR17868084	NA	NA	NA	SRR17868084	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	65313990
SRR17868085	NA	NA	NA	SRR17868085	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	50908732
SRR17868086	NA	NA	NA	SRR17868086	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	49401324
SRR17868087	NA	NA	NA	SRR17868087	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	45183712
SRR17868088	NA	NA	NA	SRR17868088	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	53140948
SRR17868089	NA	NA	NA	SRR17868089	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	51862902
SRR17868090	NA	NA	NA	SRR17868090	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	31326274
SRR17868091	NA	NA	NA	SRR17868091	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	61877774
SRR17868092	NA	NA	NA	SRR17868092	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	58701622
SRR17868093	NA	NA	NA	SRR17868093	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	35425292
SRR17868094	NA	NA	NA	SRR17868094	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	45972332
SRR23602723	NA	NA	NA	SRR23602723	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	45730328
SRR23602724	NA	NA	NA	SRR23602724	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	32961306
SRR23602725	NA	NA	NA	SRR23602725	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	24155852
SRR23602726	NA	NA	NA	SRR23602726	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	29216866
SRR23602727	NA	NA	NA	SRR23602727	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	32163656
SRR23602728	NA	NA	NA	SRR23602728	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	37976568
SRR23602729	NA	NA	NA	SRR23602729	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	37744798
SRR23602730	NA	NA	NA	SRR23602730	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	28992922
SRR23602731	NA	NA	NA	SRR23602731	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	35144760
SRR23602732	NA	NA	NA	SRR23602732	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	1627808
SRR23602733	NA	NA	NA	SRR23602733	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	29093456
SRR23602734	NA	NA	NA	SRR23602734	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	24046288
SRR23602735	NA	NA	NA	SRR23602735	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	33881764
SRR23602736	NA	NA	NA	SRR23602736	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	27312740
SRR23602737	NA	NA	NA	SRR23602737	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	28390320
SRR23602738	NA	NA	NA	SRR23602738	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	26869066
SRR23602739	NA	NA	NA	SRR23602739	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	26949132
SRR23602740	NA	NA	NA	SRR23602740	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	34276676
SRR23602741	NA	NA	NA	SRR23602741	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	24831296
SRR23602742	NA	NA	NA	SRR23602742	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	25075708
SRR23602743	NA	NA	NA	SRR23602743	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	1355102
SRR23602744	NA	NA	NA	SRR23602744	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	20097168
SRR23602745	NA	NA	NA	SRR23602745	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	24305148
SRR23602746	NA	NA	NA	SRR23602746	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	22211392
SRR23602747	NA	NA	NA	SRR23602747	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	27304914
SRR23602748	NA	NA	NA	SRR23602748	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	712768
SRR23602749	NA	NA	NA	SRR23602749	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	29305360
SRR23602750	NA	NA	NA	SRR23602750	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	22535870
SRR23602751	NA	NA	NA	SRR23602751	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	30087960
SRR23602752	NA	NA	NA	SRR23602752	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	27318158
SRR23602753	NA	NA	NA	SRR23602753	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	25831218
SRR23602754	NA	NA	NA	SRR23602754	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	21352338
SRR23602755	NA	NA	NA	SRR23602755	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	22706236
SRR23602756	NA	NA	NA	SRR23602756	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	18845610
SRR23602757	NA	NA	NA	SRR23602757	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	28568512
SRR23602758	NA	NA	NA	SRR23602758	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	21434210
SRR23602759	NA	NA	NA	SRR23602759	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	28269318
SRR23602760	NA	NA	NA	SRR23602760	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	24641666
SRR23602761	NA	NA	NA	SRR23602761	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	21089264
SRR23602762	NA	NA	NA	SRR23602762	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	10592190
SRR23602763	NA	NA	NA	SRR23602763	NA	PRJNA937707	AMPLICON	PAIRED	echinoderm metagenome	38.8997	-77.0486	20303052
SRR11011261	NA	NA	NA	SRR11011261	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	46.8	120.46	67512613
SRR11011262	NA	NA	NA	SRR11011262	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	46.92	120.5	49301075
SRR11011263	NA	NA	NA	SRR11011263	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	46.8	120.46	61493867
SRR11011264	NA	NA	NA	SRR11011264	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	46.92	120.5	73455015
SRR11011265	NA	NA	NA	SRR11011265	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	46.8	120.46	77679153
SRR11011266	NA	NA	NA	SRR11011266	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	46.85	120.48	74359308
SRR11011267	NA	NA	NA	SRR11011267	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	48.48	120.13	64330783
SRR11011268	NA	NA	NA	SRR11011268	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	48.48	120.13	62938204
SRR11011269	NA	NA	NA	SRR11011269	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	48.48	120.13	77148029
SRR11011270	NA	NA	NA	SRR11011270	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	47.78	121.5	81045404
SRR11011271	NA	NA	NA	SRR11011271	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	46.85	120.48	68723895
SRR11011272	NA	NA	NA	SRR11011272	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	47.78	121.5	73856922
SRR11011273	NA	NA	NA	SRR11011273	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	47.78	121.5	66775557
SRR11011274	NA	NA	NA	SRR11011274	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	47.78	121.5	65968475
SRR11011275	NA	NA	NA	SRR11011275	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	47.78	121.5	72090407
SRR11011276	NA	NA	NA	SRR11011276	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	47.78	121.5	64048352
SRR11011277	NA	NA	NA	SRR11011277	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	47.52	121.77	62229836
SRR11011278	NA	NA	NA	SRR11011278	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	47.52	121.77	63912696
SRR11011279	NA	NA	NA	SRR11011279	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	47.52	121.77	64120631
SRR11011280	NA	NA	NA	SRR11011280	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	48.51	121.59	71935128
SRR11011281	NA	NA	NA	SRR11011281	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	48.51	121.59	67272555
SRR11011282	NA	NA	NA	SRR11011282	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	46.92	120.5	75819710
SRR11011283	NA	NA	NA	SRR11011283	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	48.51	121.59	70178436
SRR11011284	NA	NA	NA	SRR11011284	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	46.71	120.86	67526259
SRR11011285	NA	NA	NA	SRR11011285	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	46.71	120.87	66197965
SRR11011286	NA	NA	NA	SRR11011286	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	46.71	120.87	63060907
SRR11011287	NA	NA	NA	SRR11011287	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	46.67	121.03	73242353
SRR11011288	NA	NA	NA	SRR11011288	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	46.67	121.03	66125610
SRR11011289	NA	NA	NA	SRR11011289	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	47.25	120.88	74140626
SRR11011290	NA	NA	NA	SRR11011290	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	47.25	120.88	66757848
SRR11011291	NA	NA	NA	SRR11011291	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	47.25	120.88	62138911
SRR11011292	NA	NA	NA	SRR11011292	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	47.25	120.88	78793216
SRR11011293	NA	NA	NA	SRR11011293	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	46.92	120.5	73275154
SRR11011294	NA	NA	NA	SRR11011294	NA	PRJNA589182	AMPLICON	PAIRED	phyllosphere metagenome	46.92	120.5	60943690
